,playerId,squadId,firstName,lastName,displayName,position,price,gameWeekPoints,averagePoints,last3Average,bonusPoints,totalPoints,percentSelected,form,goals,assists,minutesPlayed,shotsOnTarget,chancesCreated,tackles,cleanSheet,saves,goalsConceded,yellowCards,redCards,ownGoals,penaltyMisses,penaltySaves,bonusPpm,dribbles,crosses,offsides,passCompletionRate,interceptions,blocks,foulsWon,foulsMade,goalsOutsideArea,errorsLeadingToGoal,averagePoints_per_price,totalPoints_per_price
272,625930,1963,Facinet,Conte,F. Conte,FWD,4.5,,0.0,0,0,0,0,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
273,626070,3573,Albin,Krasniqi,A. Krasniqi,FWD,4.5,,0.8,0,0,4,0,,0,0,112,0,0,1,0,,0,1,0,0,0,0,7,1,0,0,55,0,0,2,3,0,0,0.17777777777777778,0.8888888888888888
274,626370,1748,Marc,Gutbub,M. Gutbub,FWD,6.5,,0.0,0,0,0,0,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
275,626422,249,Tim,Meyer,T. Meyer,DEF,5.0,,1.9,0,2,52,0,,0,1,1685,2,0,57,4,,24,5,0,0,0,0,379,13,1,2,77,25,15,11,19,0,1,0.38,10.4
276,626842,481,Tim,Pfeiffer,T. Pfeiffer,GK,3.5,,0.0,0,0,0,0,,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
277,627208,490,Sékou,Fofana,S. Fofana,DEF,4.5,,2.0,0,0,18,0,,0,0,365,2,0,8,2,,4,0,0,1,0,0,94,2,3,1,48,2,1,2,0,0,0,0.4444444444444444,4.0
278,628929,210,Marwan,Aubert,M. Aubert,GK,3.5,,0.0,0,0,0,0,,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
279,640532,490,Hamza,Abdallah,H. Abdallah,DEF,4.0,,0.0,0,0,0,0,,0,0,202,0,0,8,0,,7,2,0,0,0,0,44,2,0,0,83,8,2,2,5,0,0,0.0,0.0
280,640836,1414,Adrien,Llukes,A. Llukes,FWD,4.5,,1.0,0,0,1,0,,0,0,21,0,0,0,0,,0,0,0,0,0,0,4,1,0,0,75,0,0,2,0,0,0,0.2222222222222222,0.2222222222222222
281,640840,490,Ethan,Bruchez,E. Bruchez,MID,4.0,,1.0,0,0,1,0,,0,0,8,0,0,0,0,,0,0,0,0,0,0,1,0,0,0,50,0,0,0,1,0,0,0.25,0.25
282,643497,1269,Mile,Vukelic,M. Vukelic,DEF,4.5,,0.0,0,0,0,0,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
283,643971,1269,Levin,Winkler,L. Winkler,MID,6.0,,3.0,0,12,84,0,,4,3,1665,8,4,62,4,,0,3,0,0,0,0,411,13,1,1,69,16,7,35,31,1,0,0.5,14.0
284,649488,1269,Andrej,Vasovic,A. Vasovic,FWD,4.5,,1.0,0,0,1,0,,0,0,7,0,0,0,0,,0,0,0,0,0,0,2,0,0,0,100,0,0,0,0,0,0,0.2222222222222222,0.2222222222222222
285,649508,249,Leart,Kabashi,L. Kabashi,FWD,4.5,,2.7,0,0,8,0,,1,0,116,1,0,2,0,,0,0,0,0,0,0,36,4,0,0,74,1,0,3,7,1,0,0.6000000000000001,1.7777777777777777
286,649509,595,Neil,Volken,N. Volken,DEF,4.5,,1.0,0,0,5,0,,0,0,76,0,0,4,0,,1,0,0,0,0,0,25,1,0,1,85,3,0,1,0,0,0,0.2222222222222222,1.1111111111111112
287,658583,595,Dylan,Munroe,D. Munroe,MID,4.0,,0.0,0,0,0,0,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
